dimension,rot_type,angle,mirror,wm,pair_id,obj_id,orientation1,orientation2,image_path_1,image_path_2,marker_id,correctAns,first_2D_s.thisRepN,first_2D_s.thisTrialN,first_2D_s.thisN,first_2D_s.thisIndex,second_2D_s.thisRepN,second_2D_s.thisTrialN,second_2D_s.thisN,second_2D_s.thisIndex,first_3Dp_s.thisRepN,first_3Dp_s.thisTrialN,first_3Dp_s.thisN,first_3Dp_s.thisIndex,second_3Dp_s.thisRepN,second_3Dp_s.thisTrialN,second_3Dp_s.thisN,second_3Dp_s.thisIndex,first_2D_wm.thisRepN,first_2D_wm.thisTrialN,first_2D_wm.thisN,first_2D_wm.thisIndex,second_2D_wm.thisRepN,second_2D_wm.thisTrialN,second_2D_wm.thisN,second_2D_wm.thisIndex,first_3Dp_wm.thisRepN,first_3Dp_wm.thisTrialN,first_3Dp_wm.thisN,first_3Dp_wm.thisIndex,second_3Dp_wm.thisRepN,second_3Dp_wm.thisTrialN,second_3Dp_wm.thisN,second_3Dp_wm.thisIndex,first_3Dd_wm.thisRepN,first_3Dd_wm.thisTrialN,first_3Dd_wm.thisN,first_3Dd_wm.thisIndex,second_3Dd_wm.thisRepN,second_3Dd_wm.thisTrialN,second_3Dd_wm.thisN,second_3Dd_wm.thisIndex,thisRow.t,notes,start.started,text_start.started,key_resp_start.started,start.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,instructions.started,key_resp_12.started,image_8.started,instructions.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,instructions_2.started,image_9.started,key_resp_20.started,instructions_2.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,instructions_3.started,image_10.started,key_resp_21.started,instructions_3.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.duration,single_2D_screen.started,text_13.started,key_resp_7.started,single_2D_screen.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_2D_single.started,text.started,image.started,key_resp.started,text.stopped,routine_2D_single.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,strat.started,image_strat.started,key_resp_strat_control.started,strat.stopped,strategy_response,key_resp_strat_control.keys,vividness.started,image_vivid.started,key_resp_vivid_slider_control.started,image_vivid.stopped,key_resp_vivid_slider_control.stopped,vividness.stopped,vivid_response,key_resp_vivid_slider_control.keys,key_resp_vivid_slider_control.rt,key_resp_vivid_slider_control.duration,ITI.started,text_2.started,ITI.stopped,image_strat.stopped,key_resp_strat_control.stopped,key_resp_strat_control.rt,key_resp_strat_control.duration,text_2.stopped,image.stopped,key_resp.stopped,break_2D_s.started,text_17.started,key_resp_13.started,break_2D_s.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.duration,single_3Dp_screen.started,text_9.started,key_resp_8.started,single_3Dp_screen.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,routine_3Dp_single.started,text_3.started,image_2.started,key_resp_2.started,text_3.stopped,image_2.stopped,key_resp_2.stopped,routine_3Dp_single.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,break_3Dp_s.started,text_18.started,key_resp_14.started,break_3Dp_s.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,wm_2D_screen.started,text_14.started,key_resp_9.started,wm_2D_screen.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_2D_wm.started,text_4.started,img1.started,text_4.stopped,text_5.started,img1.stopped,text_5.stopped,img2.started,key_resp_3.started,routine_2D_wm.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,img2.stopped,key_resp_3.stopped,break_2D_wm.started,text_19.started,key_resp_15.started,break_2D_wm.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,wm_3Dp_screen.started,text_15.started,key_resp_10.started,wm_3Dp_screen.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_3Dp_wm.started,text_6.started,image_3.started,text_6.stopped,image_3.stopped,text_11.started,text_11.stopped,image_4.started,key_resp_4.started,routine_3Dp_wm.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,break_3Dp_wm.started,text_20.started,key_resp_16.started,break_3Dp_wm.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.duration,practice_3Dd_screen.started,image_11.started,key_resp_22.started,practice_3Dd_screen.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,practice_1_3Dd.started,image_12.started,key_resp_23.started,practice_1_3Dd.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.duration,practice_2_3Dd.started,image_13.started,key_resp_24.started,practice_2_3Dd.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.duration,wm_3Dd_screen.started,text_16.started,key_resp_11.started,wm_3Dd_screen.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_3Dd_wm.started,text_8.started,image_6.started,text_8.stopped,text_12.started,image_6.stopped,image_7.started,key_resp_6.started,text_12.stopped,routine_3Dd_wm.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.duration,break_3Dd_wm.started,text_21.started,key_resp_17.started,break_3Dd_wm.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.duration,image_7.stopped,key_resp_6.stopped,end.started,text_22.started,key_resp_18.started,end.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018795999931171536,0.03318929998204112,0.03318929998204112,3.738716599997133,rshift,3.68789800000377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7387324000010267,3.7669293999206275,3.7669293999206275,7.367345499922521,rshift,3.5685515999794006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.367362599936314,7.40001569991,7.40001569991,10.801271999953315,rshift,3.3760056999744847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.801289499970153,10.843065099907108,10.843065099907108,13.634835499920882,rshift,2.7661812000442296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.63485359994229,13.670994499931112,13.670994499931112,17.638471700018272,rshift,3.9614525999641046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
2D,None,180,False,False,None,sm5,180,0,output_pairs/2D_180/2D_180_SM5_180_to_0deg.png,None,1080,comma,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.78893939999398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.65465869999025,17.78893939999398,18.667034599930048,18.667034599930048,18.810745999915525,20.73458789999131,comma,1,2.0450693001039326,None,20.73492359998636,20.767025099950843,20.767025099950843,22.739780699950643,None,None,22.739918799954467,22.767305899993517,22.767305899993517,24.76704179996159,24.76704179996159,24.737576699932106,4.0,['rshift'],[0.18476540001574904],[None],24.737847100012004,24.76704179996159,26.738278699922375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
2D,None,0,False,False,None,obj1,20,None,output_pairs/2D_0/2D_0_obj_10_20deg.png,None,1999,comma,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.777583799907006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.738538199919276,26.777583799907006,27.733826600015163,27.733826600015163,27.80051879992243,29.034042799961753,comma,1,1.2833133999956772,None,29.034332199953496,29.066703799995594,29.066703799995594,31.037417099927552,4.0,['rshift'],31.037634199950844,31.067173899966292,31.067173899966292,33.06708259996958,33.06708259996958,33.0374407999916,4.0,['rshift'],[0.8123281999723986],[None],33.037605999968946,33.06708259996958,35.03406999993604,31.067173899966292,31.067173899966292,[1.4455295000225306],[None],35.07250819995534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
2D,None,60,False,False,None,obj6,220,280,output_pairs/2D_60/2D_60_obj_6_220_to_280deg.png,None,953,comma,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.07250819995534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.03430689999368,35.07250819995534,36.03424109995831,36.03424109995831,36.10052119998727,37.76724620000459,comma,1,1.7173798000440001,None,37.76745179994032,37.79997079994064,37.79997079994064,39.77056309999898,4.0,['rshift'],39.770707199932076,39.800574799999595,39.800574799999595,41.80023469997104,41.80023469997104,41.77028679999057,4.0,['rshift'],[0.3594219000078738],[None],41.770430099917576,41.80023469997104,43.76759689999744,39.800574799999595,39.800574799999595,[1.208712900057435],[None],43.8065158999525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
2D,None,180,True,False,None,obj1,200,20,output_pairs/2D_180m/2D_180m_obj_14_200_to_20deg.png,None,1374,period,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8065158999525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.76775339990854,43.8065158999525,44.76731769996695,44.76731769996695,44.83397359994706,48.27173809998203,period,1,3.472986100008711,None,48.271938499994576,48.30045490001794,48.30045490001794,50.2703412999399,None,None,50.270425599999726,50.30017169995699,50.30017169995699,52.30033359990921,52.30033359990921,52.270762000000104,None,None,,,52.27084379992448,52.30033359990921,54.27179969998542,50.30017169995699,50.30017169995699,,,54.31215309991967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
2D,None,180,False,False,None,obj9,60,240,output_pairs/2D_180/2D_180_obj_9_60_to_240deg.png,None,1056,comma,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.31215309991967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.271962599945255,54.31215309991967,55.2776184999384,55.2776184999384,55.3339144999627,57.03458179999143,period,0,1.754651500028558,None,57.0347771999659,57.0672959999647,57.0672959999647,59.037122200010344,4.0,['rshift'],59.03730969992466,59.0667999999132,59.0667999999132,61.0675122999819,61.0675122999819,61.0375082999235,4.0,['rshift'],[0.550054999999702],[None],61.037656700005755,61.0675122999819,63.03423240000848,59.0667999999132,59.0667999999132,[1.2444171999813989],[None],63.07201529992744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
2D,None,120,False,False,None,obj2,160,280,output_pairs/2D_120/2D_120_obj_2_160_to_280deg.png,None,1099,comma,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.07201529992744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.03437909996137,63.07201529992744,64.03379469993524,64.03379469993524,64.10058460000437,66.46753459994216,comma,1,2.406217100098729,None,66.46776469994802,66.50021209998522,66.50021209998522,68.47082169994246,4.0,['rshift'],68.47114659997169,68.5006190999411,68.5006190999411,70.5004009999102,70.5004009999102,70.47099389997311,4.0,['rshift'],[0.5392527000512928],[None],70.47114099992905,70.5004009999102,72.47181139991153,68.5006190999411,68.5006190999411,[1.2840710999444127],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
2D,None,180,True,False,None,obj7,20,200,output_pairs/2D_180m/2D_180m_obj_7_20_to_200deg.png,None,1372,period,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.51139799994417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4719837999437,72.51139799994417,73.4775163999293,73.4775163999293,73.50071009993553,75.40105390001554,period,1,1.9073485999833792,None,75.40124809998088,75.4335781999398,75.4335781999398,77.40396329993382,4.0,['rshift'],77.40410949999932,77.43396729999222,77.43396729999222,79.43355419998989,79.43355419998989,79.40368759992998,None,None,,,79.40379239991307,79.43355419998989,81.40503829997033,77.43396729999222,77.43396729999222,[1.5106301000341773],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
2D,None,180,True,False,None,obj7,140,320,output_pairs/2D_180m/2D_180m_obj_7_140_to_320deg.png,None,1351,period,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44508639990818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.40519760001916,81.44508639990818,82.40511419996619,82.40511419996619,82.47139979992062,83.83416139998008,period,1,1.420298399985768,None,83.83436370000709,83.86700610001571,83.86700610001571,85.84017499990296,4.0,['rshift'],85.84041810000781,85.86741599999368,85.86741599999368,87.86777619994245,87.86777619994245,87.83761399996001,3.0,['slash'],[0.8684041999513283],[None],87.83776229992509,87.86777619994245,89.83413199998904,,,[1.6373936999589205],[None],89.87464159994852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
2D,None,0,True,False,None,obj4,40,None,output_pairs/2D_0m/2D_0m_obj_4_40deg.png,None,1127,period,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.87464159994852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.83437739999499,89.87464159994852,90.8383627999574,90.8383627999574,90.90107399993576,92.36878879996948,period,1,1.5057138999691233,None,92.36898129992187,92.40032469993457,92.40032469993457,94.37322790001053,4.0,['rshift'],94.37340059992857,94.40069809998386,94.40069809998386,,,96.3732933999272,4.0,['rshift'],[0.9429639999289066],[None],96.37343819998205,96.41103690001182,98.40068239998072,,,[1.1597766000777483],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-05-27_11h47.31.745,ps,2023.2.3,29.95662280769566,2024-05-27 11h47.44.939881 -0400,
