dimension,rot_type,angle,mirror,wm,pair_id,obj_id,orientation1,orientation2,image_path_1,image_path_2,marker_id,correctAns,first_2D_s.thisRepN,first_2D_s.thisTrialN,first_2D_s.thisN,first_2D_s.thisIndex,second_2D_s.thisRepN,second_2D_s.thisTrialN,second_2D_s.thisN,second_2D_s.thisIndex,first_3Dp_s.thisRepN,first_3Dp_s.thisTrialN,first_3Dp_s.thisN,first_3Dp_s.thisIndex,second_3Dp_s.thisRepN,second_3Dp_s.thisTrialN,second_3Dp_s.thisN,second_3Dp_s.thisIndex,first_2D_wm.thisRepN,first_2D_wm.thisTrialN,first_2D_wm.thisN,first_2D_wm.thisIndex,second_2D_wm.thisRepN,second_2D_wm.thisTrialN,second_2D_wm.thisN,second_2D_wm.thisIndex,first_3Dp_wm.thisRepN,first_3Dp_wm.thisTrialN,first_3Dp_wm.thisN,first_3Dp_wm.thisIndex,second_3Dp_wm.thisRepN,second_3Dp_wm.thisTrialN,second_3Dp_wm.thisN,second_3Dp_wm.thisIndex,first_3Dd_wm.thisRepN,first_3Dd_wm.thisTrialN,first_3Dd_wm.thisN,first_3Dd_wm.thisIndex,second_3Dd_wm.thisRepN,second_3Dd_wm.thisTrialN,second_3Dd_wm.thisN,second_3Dd_wm.thisIndex,thisRow.t,notes,start.started,text_start.started,key_resp_start.started,start.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,instructions.started,key_resp_12.started,image_8.started,instructions.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,instructions_2.started,image_9.started,key_resp_20.started,instructions_2.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,instructions_3.started,image_10.started,key_resp_21.started,instructions_3.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.duration,single_2D_screen.started,text_13.started,key_resp_7.started,single_2D_screen.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_2D_single.started,text.started,image.started,key_resp.started,text.stopped,routine_2D_single.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,strat.started,image_strat.started,key_resp_strat_control.started,image_strat.stopped,key_resp_strat_control.stopped,strat.stopped,strategy_response,key_resp_strat_control.keys,key_resp_strat_control.rt,key_resp_strat_control.duration,vividness.started,image_vivid.started,key_resp_vivid_slider_control.started,image_vivid.stopped,key_resp_vivid_slider_control.stopped,vividness.stopped,vivid_response,key_resp_vivid_slider_control.keys,key_resp_vivid_slider_control.rt,key_resp_vivid_slider_control.duration,ITI.started,text_2.started,text_2.stopped,ITI.stopped,image.stopped,key_resp.stopped,break_2D_s.started,text_17.started,key_resp_13.started,break_2D_s.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.duration,single_3Dp_screen.started,text_9.started,key_resp_8.started,single_3Dp_screen.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,routine_3Dp_single.started,text_3.started,image_2.started,key_resp_2.started,text_3.stopped,routine_3Dp_single.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_2.stopped,key_resp_2.stopped,break_3Dp_s.started,text_18.started,key_resp_14.started,break_3Dp_s.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,wm_2D_screen.started,text_14.started,key_resp_9.started,wm_2D_screen.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_2D_wm.started,text_4.started,img1.started,text_4.stopped,img1.stopped,text_5.started,text_5.stopped,img2.started,key_resp_3.started,routine_2D_wm.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,break_2D_wm.started,text_19.started,key_resp_15.started,break_2D_wm.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,wm_3Dp_screen.started,text_15.started,key_resp_10.started,wm_3Dp_screen.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_3Dp_wm.started,text_6.started,image_3.started,text_6.stopped,text_11.started,image_3.stopped,text_11.stopped,image_4.started,key_resp_4.started,routine_3Dp_wm.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,break_3Dp_wm.started,text_20.started,key_resp_16.started,break_3Dp_wm.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.duration,practice_3Dd_screen.started,image_11.started,key_resp_22.started,practice_3Dd_screen.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,practice_1_3Dd.started,image_12.started,key_resp_23.started,practice_1_3Dd.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.duration,practice_2_3Dd.started,image_13.started,key_resp_24.started,practice_2_3Dd.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.duration,wm_3Dd_screen.started,text_16.started,key_resp_11.started,wm_3Dd_screen.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_3Dd_wm.started,text_8.started,image_6.started,text_8.stopped,text_12.started,image_6.stopped,text_12.stopped,image_7.started,key_resp_6.started,routine_3Dd_wm.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.duration,break_3Dd_wm.started,text_21.started,key_resp_17.started,break_3Dd_wm.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.duration,end.started,text_22.started,key_resp_18.started,end.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07738480006810278,0.0809671999886632,0.0809671999886632,12.403562700026669,rshift,12.305218400084414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-05-27_13h27.02.182,ps,2023.2.3,29.874574583948917,2024-05-27 13h27.15.954092 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.403581700054929,12.436215699999593,12.436215699999593,16.603560199961066,rshift,4.134371100110002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-05-27_13h27.02.182,ps,2023.2.3,29.874574583948917,2024-05-27 13h27.15.954092 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.603578199981712,16.636207000003196,16.636207000003196,22.503668599994853,rshift,5.845491999993101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-05-27_13h27.02.182,ps,2023.2.3,29.874574583948917,2024-05-27 13h27.15.954092 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.503686200012453,22.536181100062095,22.536181100062095,25.236718000029214,rshift,2.69778549997136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-05-27_13h27.02.182,ps,2023.2.3,29.874574583948917,2024-05-27 13h27.15.954092 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.236736300052144,25.269296700018458,25.269296700018458,29.037047800025903,rshift,3.7638879000442103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-05-27_13h27.02.182,ps,2023.2.3,29.874574583948917,2024-05-27 13h27.15.954092 -0400,
2D,None,60,False,False,None,sm2,300,0,output_pairs/2D_60/2D_60_SM2_300_to_0deg.png,None,948,comma,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.147618400049396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.053813499980606,29.147618400049396,30.036288600065745,30.036288600065745,30.169921900029294,32.47031690005679,period,0,2.413244799943641,None,32.470625999965705,32.502440799959004,32.502440799959004,34.50292100000661,34.50292100000661,34.47329130000435,1.0,['comma'],[1.3870992999291047],[None],34.47356840001885,34.50292100000661,34.50292100000661,36.50252470001578,36.50252470001578,36.47283340001013,1.0,['comma'],[0.7388600000413135],[None],36.473123500007205,36.50252470001578,38.5107048000209,38.46982850006316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-05-27_13h27.02.182,ps,2023.2.3,29.874574583948917,2024-05-27 13h27.15.954092 -0400,
2D,None,120,False,False,None,obj5,80,200,output_pairs/2D_120/2D_120_obj_5_80_to_200deg.png,None,1101,comma,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5107048000209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.47000960004516,38.5107048000209,39.469895699992776,39.469895699992776,39.540524500072934,41.50347480003256,period,0,2.0196335000218824,None,41.50366839999333,41.535922400071286,41.535922400071286,43.54072719998658,43.54072719998658,43.506673600059,2.0,['period'],[1.8099804999073967],[None],43.506816799985245,43.54072719998658,43.54072719998658,,,45.538505600066856,4.0,['rshift'],[1.0856915999902412],[None],45.538681000005454,45.57038889999967,,47.53637109999545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-05-27_13h27.02.182,ps,2023.2.3,29.874574583948917,2024-05-27 13h27.15.954092 -0400,
2D,None,180,True,False,None,obj9,80,260,output_pairs/2D_180m/2D_180m_obj_9_80_to_260deg.png,None,1354,period,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.57542440004181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.53657400002703,47.57542440004181,48.50297550007235,48.50297550007235,48.603394699981436,50.83694269997068,period,1,2.3154138999525458,None,50.83715859998483,50.8694321999792,50.8694321999792,,,52.84238849999383,3.0,['slash'],[1.884114700020291],[None],52.84257700003218,52.86983280000277,52.86983280000277,54.86954310000874,54.86954310000874,54.83945029997267,4.0,['rshift'],[0.6996095000067726],[None],54.839595500030555,54.86954310000874,56.875537600019015,56.837008200003766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-05-27_13h27.02.182,ps,2023.2.3,29.874574583948917,2024-05-27 13h27.15.954092 -0400,
2D,None,0,False,False,None,obj1,160,None,output_pairs/2D_0/2D_0_obj_12_160deg.png,None,1990,comma,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.875537600019015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.83717179996893,56.875537600019015,57.8463312999811,57.8463312999811,57.870023200055584,59.103576399968006,comma,1,1.2434330000542104,None,59.10377859999426,59.13581550004892,59.13581550004892,61.14084460004233,61.14084460004233,61.10709060006775,1.0,['comma'],[1.1295652999542654],[None],61.10723730002064,61.14084460004233,61.14084460004233,,,63.137746699969284,4.0,['rshift'],[0.37282619997859],[None],63.137895600055344,63.16930720000528,,65.13631059997715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-05-27_13h27.02.182,ps,2023.2.3,29.874574583948917,2024-05-27 13h27.15.954092 -0400,
2D,None,120,True,False,None,sm1,180,300,output_pairs/2D_120m/2D_120m_SM1_180_to_300deg.png,None,1382,period,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.17549080005847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.13650490005966,65.17549080005847,66.10313980001956,66.10313980001956,66.20319699996617,69.40396500006318,period,1,3.274782399996184,None,69.40417110000271,69.43669030000456,69.43669030000456,,,71.40900630003307,2.0,['period'],[1.8776962000411004],[None],71.40918640000746,71.43663050001487,71.43663050001487,73.43637909996323,73.43637909996323,73.40663570002653,3.0,['slash'],[0.9892523000016809],[None],73.40683460002765,73.43637909996323,75.44576020003296,75.40397079999093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2024-05-27_13h27.02.182,ps,2023.2.3,29.874574583948917,2024-05-27 13h27.15.954092 -0400,
