dimension,rot_type,angle,mirror,wm,pair_id,obj_id,orientation1,orientation2,image_path_1,image_path_2,marker_id,correctAns,first_2D_s.thisRepN,first_2D_s.thisTrialN,first_2D_s.thisN,first_2D_s.thisIndex,second_2D_s.thisRepN,second_2D_s.thisTrialN,second_2D_s.thisN,second_2D_s.thisIndex,first_3Dp_s.thisRepN,first_3Dp_s.thisTrialN,first_3Dp_s.thisN,first_3Dp_s.thisIndex,second_3Dp_s.thisRepN,second_3Dp_s.thisTrialN,second_3Dp_s.thisN,second_3Dp_s.thisIndex,first_2D_wm.thisRepN,first_2D_wm.thisTrialN,first_2D_wm.thisN,first_2D_wm.thisIndex,second_2D_wm.thisRepN,second_2D_wm.thisTrialN,second_2D_wm.thisN,second_2D_wm.thisIndex,first_3Dp_wm.thisRepN,first_3Dp_wm.thisTrialN,first_3Dp_wm.thisN,first_3Dp_wm.thisIndex,second_3Dp_wm.thisRepN,second_3Dp_wm.thisTrialN,second_3Dp_wm.thisN,second_3Dp_wm.thisIndex,first_3Dd_wm.thisRepN,first_3Dd_wm.thisTrialN,first_3Dd_wm.thisN,first_3Dd_wm.thisIndex,second_3Dd_wm.thisRepN,second_3Dd_wm.thisTrialN,second_3Dd_wm.thisN,second_3Dd_wm.thisIndex,thisRow.t,notes,start.started,text_start.started,key_resp_start.started,start.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,instructions.started,key_resp_12.started,image_8.started,instructions.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,instructions_2.started,image_9.started,key_resp_20.started,instructions_2.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,instructions_3.started,image_10.started,key_resp_21.started,instructions_3.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.duration,single_2D_screen.started,text_13.started,key_resp_7.started,single_2D_screen.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_2D_single.started,text.started,image.started,key_resp.started,text.stopped,routine_2D_single.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,strat.started,image_strat.started,key_resp_strat_control.started,image_strat.stopped,key_resp_strat_control.stopped,strat.stopped,strategy_response,key_resp_strat_control.keys,key_resp_strat_control.rt,key_resp_strat_control.duration,vividness.started,image_vivid.started,key_resp_vivid_slider_control.started,vividness.stopped,vivid_response,key_resp_vivid_slider_control.keys,key_resp_vivid_slider_control.rt,key_resp_vivid_slider_control.duration,ITI.started,text_2.started,ITI.stopped,image_vivid.stopped,key_resp_vivid_slider_control.stopped,text_2.stopped,image.stopped,key_resp.stopped,break_2D_s.started,text_17.started,key_resp_13.started,break_2D_s.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.duration,single_3Dp_screen.started,text_9.started,key_resp_8.started,single_3Dp_screen.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,routine_3Dp_single.started,text_3.started,image_2.started,key_resp_2.started,text_3.stopped,routine_3Dp_single.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_2.stopped,key_resp_2.stopped,break_3Dp_s.started,text_18.started,key_resp_14.started,break_3Dp_s.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,wm_2D_screen.started,text_14.started,key_resp_9.started,wm_2D_screen.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_2D_wm.started,text_4.started,img1.started,text_4.stopped,img1.stopped,text_5.started,img2.started,key_resp_3.started,text_5.stopped,routine_2D_wm.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,break_2D_wm.started,text_19.started,key_resp_15.started,break_2D_wm.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,img2.stopped,key_resp_3.stopped,wm_3Dp_screen.started,text_15.started,key_resp_10.started,wm_3Dp_screen.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_3Dp_wm.started,text_6.started,image_3.started,text_6.stopped,image_3.stopped,text_11.started,image_4.started,key_resp_4.started,text_11.stopped,routine_3Dp_wm.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,break_3Dp_wm.started,text_20.started,key_resp_16.started,break_3Dp_wm.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.duration,image_4.stopped,key_resp_4.stopped,wm_3Dd_screen.started,text_16.started,key_resp_11.started,wm_3Dd_screen.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_3Dd_wm.started,text_8.started,image_6.started,text_8.stopped,text_12.started,image_6.stopped,text_12.stopped,image_7.started,key_resp_6.started,routine_3Dd_wm.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,image_7.stopped,key_resp_6.stopped,break_3Dd_wm.started,text_21.started,key_resp_17.started,break_3Dd_wm.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.duration,end.started,text_22.started,key_resp_18.started,end.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07463930000085384,0.08004549995530397,0.08004549995530397,1.6299482999602333,rshift,1.5186333000310697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS001,001,2024-05-23_15h56.29.891,ps,2023.2.3,29.981627258529688,2024-05-23 15h56.46.490323 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62996499997098,1.6626179000013508,1.6626179000013508,5.890042299986817,rshift,4.207361100008711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS001,001,2024-05-23_15h56.29.891,ps,2023.2.3,29.981627258529688,2024-05-23 15h56.46.490323 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.890058699995279,5.91874920000555,5.91874920000555,9.486255299998447,rshift,3.5434268999961205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS001,001,2024-05-23_15h56.29.891,ps,2023.2.3,29.981627258529688,2024-05-23 15h56.46.490323 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.486273499962408,9.522289599990472,9.522289599990472,12.752867800008971,rshift,3.2199483000440523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS001,001,2024-05-23_15h56.29.891,ps,2023.2.3,29.981627258529688,2024-05-23 15h56.46.490323 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.752885099966079,12.789242699975148,12.789242699975148,18.2237891999539,rshift,5.409194300009403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS001,001,2024-05-23_15h56.29.891,ps,2023.2.3,29.981627258529688,2024-05-23 15h56.46.490323 -0400,
2D,None,120,False,False,None,sm1,340,100,output_pairs/2D_120/2D_120_SM1_340_to_100deg.png,None,1112,comma,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35340919997543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.240408599958755,18.35340919997543,19.22934029996395,19.22934029996395,19.352020399994217,20.519713199988473,period,0,1.2812318000360392,None,20.520035499997903,20.55155749997357,20.55155749997357,22.556326999969315,22.556326999969315,22.52263550000498,4.0,['rshift'],[1.0713409999734722],[None],22.522896599955857,22.556326999969315,22.556326999969315,24.558224399981555,2.0,['period'],[1.1222305999835953],[None],24.55869099998381,24.58998479996808,26.556643799995072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS001,001,2024-05-23_15h56.29.891,ps,2023.2.3,29.981627258529688,2024-05-23 15h56.46.490323 -0400,
2D,None,180,True,False,None,obj1,180,0,output_pairs/2D_180m/2D_180m_obj_11_180_to_0deg.png,None,1371,period,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.596332099987194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.55681340000592,26.596332099987194,27.552197099954356,27.552197099954356,27.619092599954456,28.98633859999245,period,1,1.4070620999555103,None,28.986563099955674,29.01888270000927,29.01888270000927,31.018524199957028,31.018524199957028,30.98895899998024,4.0,['rshift'],[0.8199439999880269],[None],30.989134299976286,31.018524199957028,31.018524199957028,32.98919659998501,3.0,['slash'],[0.4997834000387229],[None],32.98934339999687,33.01886149996426,34.99623609997798,33.01886149996426,33.01886149996426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS001,001,2024-05-23_15h56.29.891,ps,2023.2.3,29.981627258529688,2024-05-23 15h56.46.490323 -0400,
2D,None,180,True,False,None,obj1,200,20,output_pairs/2D_180m/2D_180m_obj_14_200_to_20deg.png,None,1374,period,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.04564839997329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.99641449999763,35.04564839997329,35.98558119998779,35.98558119998779,36.05622259998927,38.38590559997829,comma,0,2.398350599978585,None,38.386125099961646,38.418648799997754,38.418648799997754,40.41887130000396,40.41887130000396,40.38976839999668,4.0,['rshift'],[1.0916205000248738],[None],40.38998579996405,40.41887130000396,40.41887130000396,42.38964169996325,3.0,['slash'],[0.9639743000152521],[None],42.38979129999643,42.41868760000216,44.38587539998116,42.41868760000216,42.41868760000216,44.43579519999912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS001,001,2024-05-23_15h56.29.891,ps,2023.2.3,29.981627258529688,2024-05-23 15h56.46.490323 -0400,
2D,None,120,True,False,None,obj2,120,240,output_pairs/2D_120m/2D_120m_obj_2_120_to_240deg.png,None,1399,period,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.43579519999912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.38606940000318,44.43579519999912,45.39001430000644,45.39001430000644,45.456351100001484,47.98660879995441,period,1,2.576667900022585,None,47.98680749995401,48.01901289995294,48.01901289995294,50.019190899969544,50.019190899969544,49.98962909996044,3.0,['slash'],[1.5317529000458308],[None],49.989780400006566,50.019190899969544,50.019190899969544,51.98889479995705,3.0,['slash'],[1.3471872999798506],[None],51.98904479999328,52.018742999993265,53.99030040000798,52.018742999993265,52.018742999993265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS001,001,2024-05-23_15h56.29.891,ps,2023.2.3,29.981627258529688,2024-05-23 15h56.46.490323 -0400,
2D,None,0,False,False,None,obj1,100,None,output_pairs/2D_0/2D_0_obj_15_100deg.png,None,2013,comma,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.04011439997703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.99048789998051,54.04011439997703,54.985921299958136,54.985921299958136,55.05299959995318,57.19035140000051,comma,1,2.180371099966578,None,57.190566000004765,57.21904239995638,57.21904239995638,59.21906839997973,59.21906839997973,59.19377179996809,4.0,['rshift'],[1.5389692999888211],[None],59.193936499999836,59.21906839997973,59.21906839997973,61.18883050000295,4.0,['rshift'],[1.2286673999624327],[None],61.18900569999823,61.21907419996569,63.18628049996914,61.21907419996569,61.21907419996569,63.2352777000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS001,001,2024-05-23_15h56.29.891,ps,2023.2.3,29.981627258529688,2024-05-23 15h56.46.490323 -0400,
